OBJECTID	POINT_X	POINT_Y
0	683.38	664.49
0	741.94	663.83
0	742.92	608.21
0	737.36	608.87
0	735.07	599.38
0	733.76	596.11
0	686	594.47
0	686.65	602
0	684.03	602
0	684.69	605.92
0	693.19	605.59
0	695.81	609.85
0	732.45	610.83
0	731.47	627.84
0	691.56	629.15
0	688.61	622.28
0	684.69	622.61
0	684.36	624.57
0	681.74	625.55
0	683.38	664.49
1	745.87	681.82
1	765.82	680.84
1	767.13	670.05
1	760.92	669.72
1	759.61	673.32
1	744.89	672.01
1	745.87	681.82
2	808.68	668.74
2	818.83	667.76
2	819.15	649.76
2	808.68	649.44
2	808.68	668.74
3	791.02	640.93
3	796.91	641.26
3	799.52	633.4
3	809.99	633.08
3	809.01	627.19
3	792	628.5
3	791.02	640.93
4	801.49	619.99
4	813.59	620.32
4	813.26	617.05
4	810.65	616.39
4	810.65	587.27
4	802.47	585.96
4	801.49	619.99
5	757.65	621.95
5	771.39	621.95
5	772.04	609.85
5	784.8	610.5
5	785.13	614.43
5	792.33	615.08
5	792.65	598.72
5	758.63	598.4
5	757.65	621.95
6	758.3	644.86
6	780.87	646.49
6	780.87	643.87
6	786.76	643.87
6	787.42	628.82
6	780.22	630.46
6	780.22	635.04
6	764.84	636.02
6	765.82	629.15
6	759.61	629.81
6	758.3	644.86
7	663.8	678.23
7	672.96	677.35
7	672.96	672.56
7	664.68	672.99
7	663.8	678.23
8	685.18	684.77
8	698.7	682.15
8	699.14	676.92
8	685.61	673.86
8	685.18	684.77
9	715.71	684.77
9	732.29	685.21
9	731.85	678.23
9	717.02	677.35
9	715.71	684.77
10	735.78	582.26
10	759.77	582.69
10	759.77	570.04
10	736.65	570.48
10	735.78	582.26
11	776.35	581.38
11	784.2	582.69
11	785.95	576.59
11	776.35	576.15
11	776.35	581.38
12	730.49	521.97
12	739	522.62
12	741.61	476.82
12	733.11	476.16
12	730.49	521.97
13	693.19	519.35
13	720.02	520
13	720.68	514.12
13	717.08	513.79
13	718.71	475.18
13	703.34	474.86
13	702.03	492.52
13	694.5	493.18
13	693.19	519.35
14	793.96	541.93
14	804.76	542.58
14	805.74	523.6
14	794.62	523.93
14	793.96	541.93
15	744.56	466.68
15	794.29	468.31
15	794.62	457.52
15	744.89	455.23
15	744.56	466.68
16	702.35	403.86
16	767.46	406.48
16	767.46	384.23
16	703.01	380.3
16	702.35	403.86
17	716.75	368.85
17	771.39	371.47
17	772.04	363.95
17	726.56	362.31
17	726.24	365.58
17	716.75	364.93
17	716.75	368.85
18	704.64	362.31
18	722.31	361.98
18	722	322
18	704.64	322.07
18	704.64	362.31
19	723.95	339.74
19	760.26	341.04
19	760.92	356.09
19	774.66	356.09
19	774.66	344.97
19	772.04	344.64
19	773.68	321.09
19	724.6	321.41
19	723.95	339.74
20	798.94	417.43
20	901.31	417.43
20	901	315
20	799.72	308.86
20	800.49	339.11
20	865.63	339.88
20	863.31	380.21
20	798.94	380.98
20	798.94	417.43
21	878.82	308.86
21	902.08	308.86
21	905.19	258.45
21	899.76	253.8
21	892	243.72
21	886.57	241.39
21	879.59	236.74
21	881.15	222
21	803.59	221.23
21	802.82	248.37
21	861.76	249.15
21	861.76	256.13
21	864.08	264.66
21	870.29	269.31
21	880.37	271.64
21	878.82	308.86
22	705.88	304.98
22	730.7	305.76
22	735.35	225.11
22	710.53	225.88
22	705.88	304.98
23	739.23	296.45
23	746.98	293.35
23	748.53	277.06
23	740.78	278.62
23	739.23	296.45
24	770.25	280.94
24	794.29	283.27
24	794.29	273.19
24	771.8	272.41
24	770.25	280.94
25	773.35	258.45
25	792.74	261.55
25	792.74	249.15
25	774.12	249.92
25	773.35	258.45
26	753.96	301.88
26	771.8	302.66
26	771.8	295.68
26	761.72	295.68
26	760.94	289.47
26	755.51	289.47
26	753.96	301.88
27	757.84	263.88
27	762.91	264.8
27	763.64	256.15
27	757.94	256.34
27	757.84	263.88
28	755.91	283.76
28	765.48	283.39
28	764.56	274
28	756.1	273.08
28	755.91	283.76
29	757.02	253.02
29	762.54	253.02
29	762.91	247.5
29	757.57	247.69
29	757.02	253.02
30	785.3	303.73
30	795.11	303.73
30	795.11	295.38
30	784.81	295.88
30	785.3	303.73
31	763.7	234.78
31	771.56	235.27
31	771.8	229.38
31	764.68	229.38
31	763.7	234.78
32	784.81	234.53
32	793.88	234.78
32	793.88	229.38
32	784.31	229.62
32	784.81	234.53
33	731.8	189.87
33	782.35	191.59
33	784.07	152.09
33	734.75	149.63
33	731.8	189.87
34	715.61	111.11
34	753.15	112.33
34	752.66	82.89
34	715.86	82.15
34	715.61	111.11
35	484.08	214.47
35	503.28	216.65
35	503.28	212.28
35	558.24	211.85
35	559.11	214.47
35	564.79	214.47
35	565.22	218.39
35	580.93	219.26
35	584.42	112.83
35	542.1	110.64
35	539.48	116.75
35	533.81	116.75
35	533.38	108.9
35	487.14	108.46
35	484.08	214.47
36	589.94	394.63
36	611.46	396.95
36	620.19	223.63
36	598.08	223.63
36	589.94	394.63
37	438.14	394.63
37	459.07	395.79
37	463.73	221.88
37	445.7	222.46
37	438.14	394.63
38	385.79	540.61
38	481.18	543.52
38	484.08	499.32
38	389.28	499.32
38	385.79	540.61
39	130.45	533.64
39	176.4	535.96
39	176.98	523.75
39	131.03	522
39	130.45	533.64
40	165.35	508.04
40	211.88	510.37
40	211.88	499.32
40	167.68	496.99
40	165.35	508.04
41	200.83	483.03
41	245.03	485.94
41	245.85	473.47
41	201.65	470.56
41	200.83	483.03
42	214.79	449.88
42	233.4	449.88
42	232.24	456.28
42	240.38	455.12
42	240.38	450.46
42	248.52	448.72
42	249.11	421.38
42	200.83	420.8
42	199.08	438.25
42	213.04	439.99
42	214.79	449.88
43	149.65	437.67
43	164.19	416.73
43	179.89	416.15
43	182.22	406.84
43	161.86	405.09
43	151.97	383.57
43	142.67	387.06
43	150.81	411.49
43	138.01	430.69
43	149.65	437.67
44	205.48	534.22
44	233.98	535.38
44	235.15	527.82
44	204.9	524.91
44	205.48	534.22
45	235.73	514.44
45	244.45	516.77
45	244.45	495.83
45	236.89	495.25
45	235.73	514.44
46	298.83	388.99
46	349.43	390.74
46	349.92	376.6
46	299.32	374.85
46	298.83	388.99
47	316.86	319.78
47	332.57	319.78
47	332.57	286.05
47	316.86	286.05
47	316.86	319.78
48	299.99	350.03
48	354.09	350.61
48	354.22	337.79
48	300.13	337.21
48	299.99	350.03
49	163.31	147.04
49	237.18	148.78
49	238.38	97.67
49	164.52	95.92
49	163.31	147.04
50	331.4	157.51
50	359.9	159.25
50	361.65	146.45
50	368.04	145.29
50	367.46	107.49
50	361.65	105.74
50	362.81	84.22
50	366.88	84.22
50	366.88	69.68
50	339.54	70.26
50	339.54	83.06
50	350.01	83.64
50	348.85	107.49
50	334.31	107.49
50	331.4	157.51
51	259.86	85.97
51	270.33	88.29
51	273.24	63.86
51	309.3	65.61
51	308.14	81.31
51	284.87	80.73
51	283.71	88.87
51	309.3	90.04
51	307.55	122.61
51	324.42	122.61
51	329.66	51.65
51	261.61	49.32
51	259.86	85.97
52	258.7	134.82
52	308.72	135.4
52	306.97	179.03
52	288.36	177.86
52	287.78	185.42
52	319.19	184.84
52	320.93	180.77
52	327.91	180.77
52	329.08	173.79
52	322.1	172.05
52	324.42	137.15
52	324.42	125
52	258.7	125
52	258.7	134.82
53	254.04	147.04
53	291.27	147.62
53	290.69	142.38
53	255.79	141.22
53	254.04	147.04
54	260.44	165.07
54	294.18	167.98
54	292.43	158.09
54	262.77	156.34
54	260.44	165.07
55	261.61	180.77
55	281.96	180.77
55	284.29	173.21
55	261.61	171.46
55	261.61	180.77
56	171.45	81.31
56	228.45	82.48
56	228.88	61.44
56	171.88	60.28
56	171.45	81.31
57	276.73	113.88
57	287.78	113.88
57	287.78	97.02
57	276.73	97.02
57	276.73	113.88
58	203.65	386.43
58	277.81	389.92
58	278.68	368.98
58	266.47	368.54
58	267.78	375.08
58	214.12	375.08
58	215.43	367.23
58	203.22	367.23
58	203.65	386.43
59	204.53	345.86
59	214.99	347.17
59	216.74	338.01
59	269.09	342.8
59	269.09	348.91
59	282.17	349.78
59	282.61	330.15
59	206.27	326.66
59	204.53	345.86
60	337.14	321.86
60	351.53	323.17
60	350.22	316.19
60	356.33	315.32
60	356.77	309.21
60	360.26	309.21
60	359.82	300.49
60	356.77	300.93
60	357.2	291.33
60	354.59	290.89
60	355.46	283.48
60	336.7	283.48
60	337.14	321.86
61	304.42	263.85
61	359.38	265.16
61	359.73	250.77
61	304.76	249.46
61	304.42	263.85
62	304.42	225.02
62	363.31	226.77
62	363.71	213.27
62	304.82	211.53
62	304.42	225.02
63	-603.29	322.76
63	-604.03	341.75
63	-572.39	343.61
63	-572.39	351.42
63	-560.11	351.42
63	-559.36	343.61
63	-529.58	346.21
63	-529.21	326.86
63	-603.29	322.76
64	-513.58	332.44
64	-514.69	360.36
64	-491.61	359.99
64	-492.36	375.25
64	-516.18	373.76
64	-517.3	391.25
64	-481.56	392
64	-478.21	347.33
64	-486.77	333.56
64	-513.58	332.44
65	-449.92	332.07
65	-450.29	345.84
65	-390.36	348.45
65	-389.99	336.16
65	-449.92	332.07
66	-450.39	360.46
66	-450.67	366.6
66	-428.34	368
66	-428.62	383.07
66	-452.35	381.95
66	-452.91	389.21
66	-394.56	392.84
66	-394.56	385.86
66	-418.01	383.91
66	-417.17	369.39
66	-392.88	371.07
66	-393.16	364.37
66	-450.39	360.46
67	-282.32	380
67	-280.93	355.15
67	-289.86	344.26
67	-355.47	339.8
67	-366.64	349.01
67	-368.03	374.42
67	-356.31	374.7
67	-355.19	355.71
67	-351.28	352.64
67	-299.35	356.27
67	-294.33	361.29
67	-295.17	379.72
67	-282.32	380
68	-222.3	346.5
68	-229	345.94
68	-229.56	349.29
68	-255.24	347.89
68	-255.52	358.78
68	-250.5	359.06
68	-250.5	354.87
68	-231.79	355.71
68	-232.63	370.79
68	-257.2	369.39
68	-256.92	377.49
68	-233.75	378.88
68	-234.3	398.43
68	-258.87	397.87
68	-258.87	404.57
68	-200.52	406.8
68	-199.97	398.98
68	-223.14	398.43
68	-222.3	379.44
68	-198.29	380.56
68	-197.73	373.3
68	-222.58	371.07
68	-220.9	357.39
68	-200.52	357.67
68	-201.08	364.92
68	-196.06	364.64
68	-196.06	351.8
68	-223.14	350.69
68	-222.3	346.5
69	-201.57	421.74
69	-219.58	420.69
69	-223.56	488.53
69	-229	488.32
69	-229.84	496.28
69	-206.6	497.12
69	-201.57	421.74
70	-177.28	479.53
70	-179.59	521.2
70	-166.6	521.41
70	-166.6	514.5
70	-81.8	519.52
70	-82.43	526.43
70	-69.45	527.06
70	-66.73	486.44
70	-79.71	485.39
70	-81.59	507.38
70	-165.56	502.56
70	-164.09	479.53
70	-177.28	479.53
71	-174.77	461.31
71	-162.62	461.94
71	-161.58	440.79
71	-77.19	446.24
71	-78.03	468.22
71	-65.68	468.43
71	-62.54	412.52
71	-74.68	412.32
71	-75.94	434.09
71	-160.53	428.86
71	-158.86	405.62
71	-171.63	405.2
71	-174.77	461.31
72	-170.16	387.4
72	-157.6	387.61
72	-156.76	367.93
72	-121.58	369.39
72	-120.75	356.62
72	-155.92	356.2
72	-155.71	352.43
72	-168.28	352.43
72	-170.16	387.4
73	-105.46	371.28
73	-71.33	372.74
73	-72.8	394.73
73	-59.82	394.31
73	-57.72	360.39
73	-104.83	358.92
73	-105.46	371.28
74	-205.76	319.98
74	-161.79	322.49
74	-160.95	306.57
74	-205.34	305.11
74	-205.76	319.98
75	-204.08	289.61
75	-159.27	292.55
75	-158.65	277.68
75	-203.66	274.75
75	-204.08	289.61
76	-514.95	176.75
76	-473.08	178.99
76	-471.4	139.34
76	-506.3	138.51
76	-510.21	135.16
76	-510.21	120.64
76	-470.28	122.03
76	-469.45	106.12
76	-525	105.28
76	-527.24	144.93
76	-523.61	150.79
76	-514.67	150.79
76	-514.95	176.75
77	125.77	88.53
77	121.58	87.42
77	126.61	3.1
77	120.19	3.38
77	121.3	-30.12
77	97.57	-30.68
77	97.02	-19.51
77	87.8	-19.51
77	85.57	13.43
77	87.8	13.71
77	81.66	84.9
77	85.29	85.46
77	84.17	93.56
77	124.93	96.91
77	125.77	88.53
78	79.43	-58.04
78	78.87	-41.01
78	129.4	-37.94
78	129.12	-46.03
78	134.98	-46.03
78	134.43	-61.39
78	131.08	-61.39
78	131.08	-68.65
78	119.91	-67.81
78	118.79	-56.92
78	79.43	-58.04
79	51.23	-74.79
79	38.67	-75.07
79	38.39	-70.32
79	26.94	-70.04
79	26.38	-58.04
79	35.32	-58.04
79	34.48	-46.59
79	24.71	-46.03
79	23.31	-33.47
79	31.41	-33.47
79	31.41	-16.72
79	42.02	-15.6
79	42.3	-20.07
79	48.72	-19.79
79	49	-15.32
79	69.93	-14.21
79	69.93	-27.61
79	54.58	-28.17
79	54.3	-32.35
79	45.93	-31.79
79	46.2	-44.64
79	59.88	-44.08
79	60.72	-55.53
79	46.2	-56.36
79	46.2	-66.41
79	50.95	-66.69
79	51.23	-74.79
80	64.91	-132.58
80	132.47	-127.83
80	133.31	-142.07
80	65.47	-146.26
80	64.91	-132.58
81	131.63	-123.09
81	123.54	-123.09
81	123.54	-120.3
81	74.4	-123.37
81	73.01	-108.85
81	61.56	-109.41
81	61.28	-96.57
81	85.57	-96.84
81	85.57	-99.08
81	90.59	-98.8
81	90.04	-105.5
81	121.58	-104.38
81	120.47	-96.84
81	130.8	-96.57
81	131.36	-103.27
81	137.5	-102.99
81	138.06	-119.74
81	130.8	-119.74
81	131.63	-123.09
82	134.43	-194.56
82	119.63	-194.56
82	119.91	-191.77
82	78.03	-193.44
82	78.31	-196.79
82	71.05	-196.23
82	71.05	-200.14
82	66.58	-200.14
82	66.31	-198.47
82	59.88	-198.75
82	59.33	-189.81
82	64.63	-189.81
82	65.19	-182.83
82	63.23	-182.27
82	62.4	-163.85
82	75.52	-163.57
82	75.52	-169.99
82	81.94	-169.99
82	82.78	-183.11
82	76.91	-183.39
82	76.36	-186.74
82	119.91	-184.51
82	118.51	-160.22
82	124.38	-159.66
82	124.65	-158.54
82	130.52	-158.26
82	130.24	-161.06
82	133.03	-161.06
82	131.91	-183.11
82	137.78	-183.95
82	137.78	-190.65
82	134.15	-190.65
82	134.43	-194.56
83	-58.06	-142.29
83	-59.92	-122.56
83	-8.92	-118.84
83	-8.17	-139.31
83	-58.06	-142.29
84	-42.05	-166.86
84	-59.54	-168.35
84	-59.54	-173.19
84	-87.83	-174.3
84	-88.21	-169.46
84	-107.56	-170.21
84	-107.56	-157.92
84	-90.44	-157.55
84	-90.81	-152.34
84	-61.41	-150.85
84	-60.29	-155.69
84	-42.05	-154.2
84	-42.05	-166.86
85	-181.27	-136.33
85	-166.75	-135.22
85	-164.52	-190.31
85	-176.43	-191.05
85	-177.92	-179.14
85	-181.64	-179.14
85	-183.5	-150.11
85	-180.52	-150.11
85	-181.27	-136.33
86	-173.82	-49.97
86	-173.82	-76.4
86	-170.47	-76.77
86	-170.47	-89.43
86	-194.3	-90.92
86	-194.3	-78.26
86	-186.48	-77.52
86	-186.85	-50.72
86	-173.82	-49.97
87	-175.31	-39.55
87	-195.79	-40.29
87	-198.39	-9.03
87	-202.86	-9.77
