TreeID	X	Y	Polygon	Type	树干高度	树冠高度	树干直径	树冠直径
0	161.98	-256.98	48	3	2.4	10.0	0.4	7.0
1	162.18	-265.43	48	3	2.4	10.0	0.4	7.0
2	162.94	-273.81	48	3	2.4	10.0	0.4	7.0
3	163.75	-285.94	48	3	2.4	10.0	0.4	7.0
4	164.65	-298.79	48	3	2.4	10.0	0.4	7.0
5	166.46	-315.18	48	3	2.4	10.0	0.4	7.0
6	166.66	-323.62	48	3	2.4	10.0	0.4	7.0
7	167.42	-332.01	48	3	2.4	10.0	0.4	7.0
8	168.23	-344.13	48	3	2.4	10.0	0.4	7.0
9	169.13	-356.99	48	3	2.4	10.0	0.4	7.0
10	172.11	-393.45	48	3	2.4	10.0	0.4	7.0
11	172.32	-401.89	48	3	2.4	10.0	0.4	7.0
12	173.08	-410.28	48	3	2.4	10.0	0.4	7.0
13	173.89	-422.4	48	3	2.4	10.0	0.4	7.0
14	174.79	-435.26	48	3	2.4	10.0	0.4	7.0
15	175.95	-448.69	48	3	2.4	10.0	0.4	7.0
16	176.43	-454.77	48	3	2.4	10.0	0.4	7.0
17	176.91	-462.65	48	3	2.4	10.0	0.4	7.0
18	177.81	-471.13	48	3	2.4	10.0	0.4	7.0
19	179.74	-484.31	48	3	2.4	10.0	0.4	7.0
20	175.95	-448.69	48	3	2.4	10.0	0.4	7.0
21	176.43	-454.77	48	3	2.4	10.0	0.4	7.0
22	176.91	-462.65	48	3	2.4	10.0	0.4	7.0
23	177.81	-471.13	48	3	2.4	10.0	0.4	7.0
24	179.74	-484.31	48	3	2.4	10.0	0.4	7.0
25	185.38	-526.62	48	3	2.4	10.0	0.4	7.0
26	185.38	-526.62	48	3	2.4	10.0	0.4	7.0
27	183.45	-513.43	48	3	2.4	10.0	0.4	7.0
28	183.46	-513.43	48	3	2.4	10.0	0.4	7.0
29	182.55	-504.96	48	3	2.4	10.0	0.4	7.0
30	182.55	-504.96	48	3	2.4	10.0	0.4	7.0
31	182.08	-497.07	48	3	2.4	10.0	0.4	7.0
32	181.6	-491.0	48	3	2.4	10.0	0.4	7.0
33	181.6	-491.0	48	3	2.4	10.0	0.4	7.0
34	183.46	-513.43	48	3	2.4	10.0	0.4	7.0
35	183.46	-513.43	48	3	2.4	10.0	0.4	7.0
36	194.62	-525.62	49	3	2.4	10.0	0.4	7.0
37	192.68	-512.43	49	3	2.4	10.0	0.4	7.0
38	191.79	-503.96	49	3	2.4	10.0	0.4	7.0
39	189.44	-486.39	49	3	2.4	10.0	0.4	7.0
40	190.66	-494.35	49	3	2.4	10.0	0.4	7.0
41	181.04	-388.76	49	3	2.4	10.0	0.4	7.0
42	181.25	-397.21	49	3	2.4	10.0	0.4	7.0
43	182.01	-405.6	49	3	2.4	10.0	0.4	7.0
44	182.82	-417.72	49	3	2.4	10.0	0.4	7.0
45	183.71	-430.58	49	3	2.4	10.0	0.4	7.0
46	194.38	-587.56	48	3	2.4	10.0	0.4	7.0
47	191.76	-574.99	48	3	2.4	10.0	0.4	7.0
48	190.74	-566.52	48	3	2.4	10.0	0.4	7.0
49	195.88	-605.22	48	3	2.4	10.0	0.4	7.0
50	189.16	-557.71	48	3	2.4	10.0	0.4	7.0
51	188.51	-551.52	48	3	2.4	10.0	0.4	7.0
52	187.71	-472.87	49	3	2.4	10.0	0.4	7.0
53	205.43	-603.63	49	3	2.4	10.0	0.4	7.0
54	203.05	-586.4	49	3	2.4	10.0	0.4	7.0
